name,lat,lng,place_id,types,photo_reference,rating,user_ratings_total,price_level,vicinity
Nepal House Restaurant & Bar,39.9849801,-105.2386613,ChIJSfk7TzDta4cRw-8qPlOhbDU,restaurant,AeeoHcI3a3RvVoOAFiYRiHRZDehREJLfWBxWTO2g5qt5ybhPOQIaqad_elL5bUgeBZ31H_ZJpj7etDbWNJauJnJY4NTI8qfHtamm6rwg5cyHoGSuGoSl0OIiHAFcQDUaS8tBnAES8-NOYTG9VWcdILXEDUhxsKWNNluOrPW0IseXF8RLywEe4exB3Z5XMGi1_6BL4_WC4vg61_H5jvUvxlOMufbFfDZZpLKE3mW5XC_6UGSQUD9-QM4IXo8SXCyPYdcJ_WqXEnk8YhDWPtW36QbOuEnk_xAQ-gjzVXxSFnuqcIDSFJ23BmErOq_uIhmN3Mgw0SU-CbF0x760yLDDpiEpCnBvLM2zHUqqyQumzm__ZdHo6bTkOFNPPFWgpsMs90r1P2IZhkc29PArr_SPVpB4siZ-jQrRq0BsA86kLjK1D7tpcaMIHy15P3pZtrxBOHTBx0neyvoXnYAx0LJHw8UV6_sck8saYY1Xh6kTukXckxyM2WBUnuehqzFArWpETYt5qy_22v9tzjTGY-Cg5t8GInHANoQh7QyYERqc-zaEjUcOVWpVgxuoHKU7XESidUbKZGaKfEee_JczUQ,5.0,167,2,"4720 Table Mesa Dr, Boulder"
Bitty & Beau's Coffee,40.0183667,-105.2761122,ChIJ7YCA1wjta4cR8YQfbVRMc8I,cafe,AeeoHcIeOV76Q0w83enxk21M8eScR6XqRL3jkoLEXQMLhwyM2qM2_6tvpygDpWSQ9eRLjmzPm7IAv8RRaogZWeFWN55L5Tr30_-8NzBW7jR82k3pRsiHV6g2MM-_S8qBjwEHqZezVk3xeQGuAf11RLY-KE3F6YpOwi-i6H-5lVnP4N6bFjIW6eeF8_UHP_gF6o2jUk8VwBw2qQrWeWSpKKL49ic09kuWr6T964o4exM_BuP8xqkbeWnvSu33xq_6JxL7ckY8TLDpJKM1H7XyRTi7PMWSI2QVFq5bPqEzs6cIvvuTezYeMg0Ak7AjN0Vj1NTZfwLV9ugXBxiryKoXYI_Dt1CX3-NIyFLy9IsrUiHcfGTjWQZYoBjHBi1_7ZQ2Cxr0JRUr1-deQRnI7hV5_B0GPMXGOWTu1YxHcxnGwosVOxu52c-QKcQkUgwDYm-u5d6vCI1meILYOHpYUGgicMvc6fjRmQYZPaBhSVCWIotO4wZ_sTypfNwzsByLVuGU461glhvNtT6Isah9sx5DXF19eL0WVay96VnnBP8wyVmkz0-1_nzTaPwt1UlkMaBzILh2OlGomH-p,4.9,372,0,"1468 Pearl St #120, Boulder"
Myco Cafe,40.0154573,-105.2591083,ChIJ7ce6Ipzta4cRQTTJ6p6bE6o,cafe,AeeoHcKb4lVDNZFqcBo7MvBhhivSJq_XooCl-vezAw90LPmDalcBhNTG3mfdJfSiiWq5-iRA0kAmu4lZ9CDy--LxbGBBpq6PQrXYYi8KIMls5oqQJDxhEtMsmf7NzNssCeHFlBdiFLxcDbSW_ZIluWe5lZPH8gimikLOV9xAWuaBuqYrBVr-2tziUtfvFLafyYg8_iV_VMMzPjf3R08v1J_GZ9f5dStYA2Ru042aRUYf9LFc__kIJX3pvskRvK6qsBxl9EwqZ4CjaAwd5VPWSQQqh3pEPLE6AS1PmOogoe8kIQAp98CFNIYLEE6mM2ZWvl2A9vmuwbtBkYVuIp6SeWgx89Gf22U20S-ryhEMaMqNOCvw0eFMi8ng-oqLRmxBFTSaYQDT_P-8kdMFtkre24dP1gV-BGk3B-3tooKiZIB2MRqPAjdCn3dz0rfnxD2njJSVyLasYghqXi_xTioIrrdscpJn03En_8hJkM3WFWrgnWBkDW2wI5ViaQB5vT7hYAZ292Nv3cfCgL-Mj9OJnTiuZOZzxCfc2G8NJyEXFza8JguVwIOnBHqnQNskKb756t2e-sd3qu5EOAW9ew,4.9,147,0,"1629 28th St, Boulder"
Ironwood Bar and Grille,40.0114098,-105.2206426,ChIJJXoHA_Hta4cR48amFvk6CDo,restaurant,AeeoHcJGaDWa49F-4Q9ECJogk6WCMDXVibbwphmbsbRne7HJfiftqvygWGH6okZCKY9lcJ0PGzaAtrTAi5bj7EbaxRQTDx_iCEPa5RqTV9Sq6aGKTbvqheNymHDjewAguvyt-eqvzokEF2Uqvhz3CJqr7dM0aThqemKVxWbnCdugi0C-RZDNe5Ak93NdBV3VUAPj-F0BMvwbLKxDA-DJa3j45st1b_4FSP1IsJD1OZ3k48f3uCXss20XfJuu9XAWYO5fOLEGgf2BiGD318GsdbfNV4RhI1ju1AQY6G3pQBi0gl3UcSpJvuo,4.9,14,0,"5706 Arapahoe Ave, Boulder"
Ampersand Coffee Roasters,40.0732564,-105.200829,ChIJ72k4kTTwa4cRU7l9wvM9_Ac,cafe,AeeoHcIJARI3lIrZWX70xayPCxVtCNFZft1MpLYy5NxOb4Wu1RmLA4APVmoCfNaAUT7tM6fOEBGBUVLB35Wz-Oeput528ReFbdYFXBRzbGdyuvYZJImG5LEUkxxJVR5IFG8h1ZdBmpTMidYBQE0lqtTuLUgPSEJPbGsFl0nPv4n6UJ2AyuhikIlRM-vpIDpMcyjCdDD8LZAHKj_K9N9K0tn8VXYo7sgm2LIXSwubJwtzWBrBPjjxNr0cSpKB5yJF6Ceh5ugQE3-dje-T34ABV7_-5XLiPE6seCFyLGWMZt_mbbFArhKhla2H21JX0pIvXSKVs0SM0Kq_ksMPYyYs-8sSI4GTFgA8-PnFaLlrII74w-gIxHZD2CewpCcSCS-KBlQqTmA69qoNTvSxIHCTJqXbKXIK7eHQ7EJCgznyWSaM746bmMX3H1OBjflCeHB2Ag6D7-NU1VhD1m4jpVT3ZPSWZzEJs3u27hOLbjENySRJhOJk0YtgP7CkJnSFSmWOiKLnTXYqRzrj3a-JhfzhD88l3epJbphxsSD1IIQaasWKR5PjFRvMxxVqRL99OXzcw2Dh_Ffq5SpG,4.8,345,0,"6560 Odell Pl c, Boulder"
Trident Booksellers and Cafe,40.0171538,-105.2829921,ChIJHSJLxCbsa4cRkw2E3vTDfzU,bar,AeeoHcKv5khmnliL8MdEMKZagmY-dDFTzRfekEHN2y_86MTqq4ZY_FIn_WNmukvIn5CHiqNUCxOezPpT8OA5Qcy9QYjGEErFYYW9WTf2BbQbo8JL7Ny2Na2nmH_MGpqqOj9azsCr3bHPa7eBz5jye-6zN1ooMR_ChFBmf43dTPb5vka47eiI8fZP1kmDe0GpjCiYASJAwOmv4bj1zwiBloEDdZaOaZYtnIfLQi63eKQoN47To7Jg4FlkRu2qPK0X2Ob1YGbZfjjDDXuT85XXSfIt-tncleAyTpWOLrKZY8W1KBHITdkD9eMwBw43MmcG_Qdb8tfQ3x8RN88T8wCjjszb9wZPzPzZB5pEJKTRook0AYDZ9qE8AYfMjJYJfjDBYIrpjhtE_R31T0toYnL5MTUB8Ug22ESUfwGcTZEuFK-Zfk7Zvv440wS4Ckzqa21dT3eBazzvEmthDS9bQNSONcETKTobzOiB8D8cj3azB-UxP4Vjqxv_qAoG0j4zr7L7PrnqyRYzwIkuzR0TrnXdtOzcGNUR8aazPcDscnpxmlds4-eWlhbjgs5GSdU-L96q2l5F4ca3D8t6,4.7,1269,1,"940 Pearl St, Boulder"
Postino Boulder,40.0184499,-105.2761386,ChIJj37nUUnta4cRaJDCMe5YaQg,bar,AeeoHcLqM91NmuPMDDCZ4dkccqAXU90dtDRscqoXYc1jEgRHLFunpkEJhcBiIsawypP6dXr17iRR8bmd9rce3yyDY1e9QVrFkgY0pbKBxaqIoWoW1K5PfkJ6Z-DpJ589hHekg9s9K0e3KOv3OK6RIkYBB_udQKvfyVBiOfgIl_rvezRRYXCZnKXyYSleRekhEeSM4BNj_UbbuUSJlUCavCUcrGIKa7I27PnSnVjyj8ASXkQZrhO0had9cLWLJLsRn6a59Im8Ckfw12Xn531K7AjF_R7FsrxqWRJWwwTqulvLO3T7cdfNDfGd8_PGkOU81Hp-VXojq-fwVhPiC1sjuOrW1B1cnqqBsfkTbbflgwACqS7jzLESeAkirTA4syfPWmGEac73xplHnsOYjudKctu1BCTZw5vLDJmqORVT55Nqv0R_qK5UeUrdpPFtg5ur-MLdPkhZrXA_tomNGwbaBdkyUOKpLX-m7bcccPXwBjlhT-sgiJnH53yRKMqvY8hMi_qpUfRTY0X5elQN6ZP9w5KvH_QHgXhgz0AIGL2GAhXq1qaXIwtOjjBvoRvhEjWBbZYlwmXz5Sjt,4.7,554,2,"1468 Pearl St suite 110, Boulder"
"Sanitas Brewing Company - Boulder, CO",40.0214502,-105.2473996,ChIJNR0O297ta4cRo3mZc_QoWTc,bar,AeeoHcJWBFQMgZLiBVUg2Ql_ZC3BfAvwAanS1AiYHhxPwk-iGDZKMf4reVK_mUzgySSnh-P8sQ0KkLBlYqQJ0CHUT5rumx_f7b5ISCPxWaFgPHhJkjOnrtc3ZP18TN_k4rVMOUneBPfdck90DBYBmH6aEpQ45UHgNVVU_vh_rSwZe7CSeZSJFebeg_OyPyGU8vLaTuK6SVklWo8VRXvmEteIORHa8RvVCZV0uskb-7xNNyH9F7cKbolnyzVzXlD5cvrL_SReJqWvxdBcNsz8zLTYOXoahFp6T8HfJdXFB8uD05FCPecnFWYhvdMFfuVJn5TXaZu3eibmk8EGx521Dqlw_hjZQzg1mlHDibWpS5g06pItvrEBsE5vHw_qq3x_Vk8q2GMZcyPY3S5NZZDzeJVTtXSOiMPYH9aqIEI9PTvefNZBJx2Brd4QohXiVHEoPlnzCIwS-G_IJRfdlxpmmyBjE8QeT5nl-Tn8_iTJserfXNjxJd1dj9XZ-TfV2reFDvzFU0QcHKrFZytoW0CBQzxJJmKsMSeF7mUr9weanS-zf9-RQNJoYRfElN0l6WWgHk-dqn5FgPpm,4.7,554,0,"3550 Frontier Ave ste a, Boulder"
Upslope Brewing Company,40.0202921,-105.2184739,ChIJWfRG6Qfya4cRP2by2QjKl3M,bar,AeeoHcISgHRQAb7F92RMSR7Mg1BCycGh9Z_3chftdl0rM8L-WM0GnEeYq3r5k0GoxX6pvIIvsVoIOUptfwWZIa1ATDysM89Grq0qM-EyAoZuI3ZIOX1wMJllzf1lXTc3QZ9A3z2ng7f44HEm1tr3c9jx3QhuNIZwrpbGf_Xjc-uWZjldBQmI5eEq3m6mKUG5TV2kYw7Xsjlb5mcQUALgHBqWObvkhQfYdoW4JQo62NtnijXb8TCzf6DohpoMxklJ_qFGF2sYcMQkWZ5GEt52TikZvcVTlURbYcbfZlMtLeFOXBQTpiTWGqyu67_XcV65aIBuokPjGUwWnUgwMZxRrfjoC18s3MesGHVvd9Dd5Ek061dfYjWwBh4AOATNat8mJbEZ3NlEJuGnFAmU799wAEOqQ8GVqXVQOpk5p1u89Otx9ZW995f8XHGssDh384JtpP6jCJeL9MEke2KolEzuMQnGg_fietd3t7wPygs0aRbBdivCo_Ir1Tmoau4EJcy_qtIXqWnbaE6Hkmo1CMTeII5-XzS_ZK1MWdxDJ51_D7ecw-j6ZpWfHKtJ1-PQ-AUQfenIc4ZJP8LA,4.7,508,1,"1898 S Flatiron Ct, Boulder"
Jungle,40.0178585,-105.2825947,ChIJ4bCzFTzta4cRf0--1hTqlmU,bar,AeeoHcKKVJPBRqchTXp7GUH-LqINE1m9FWp4GRW3DIqJJMcWnJ2q1BgC4K_BvfX1lyAypdPvMSl2nuk4-6NxPhNXfbwgn7bwakzAtp9dBbElQ7RqGtSQ8jHO4islxPZAu-J5Id7lxAPNar0S5rlIoJOOG2uLnXAyL_C7VztdW7jUKh87lTMrtY-axkIMft2HthUBDCOmvS33dyx0xlZbJ-cHE3QGDY-SKXfmfTQDNuOlfL_2Eh6FEeX-k6r4GByGYJPSQ6GRsmjP9mJhnE1q5cLeb_h4h8N83qxBAn6OZX-bWdIc8LJsYRxEoW0rZ3Cm-SxI7z8Eu_2GFkvOA9bdD29ZJQm0DYdKL7frgLh53cq4B_lP8OOgwM5jKjP1xTr1GwkrydiBBnG7smZI8fa8OA29OBPLieHyEX1SYJUnOx8NBKIK-rfX6gQIsQYhIyrbfzP9NFeQvKHWtwcShyKKO7gK3V3CLfeXxdTmf3-GB3UVaI-WMRwdadQNcTMmJIhL9yJWnP133CI1oTrqb6R_SYbVnR7gHKZ91oIjiZY9PYN_F4NJ1RUIGvBwP5CppP5zGf8dmW2bPpLcjm7kbg,4.7,372,0,"2018 10th St, Boulder"
Tonic Alchemy Lounge,40.0176187,-105.2828873,ChIJyZ2j2ybsa4cRXKyiTSLCaKE,bar,AeeoHcKt8FlQT0XlK4zAMeannAPGnPSN8U4Ec200N_WBdAih4Xzkozf1r3TL_i17J_GDm61pyxeuGBvjCC7tFh2U7af5R9hmgNcgXX5IeiKpIQDy0NAkYSe8XLv4n_75bqyXGlEYTQy_WVbNwDDUEwKc25JNjrL7-v6R2o60je3aHbwEm1vQsRtM9q2yTa0jxNw8PCW5xDwjI9jMNwhxg4KDbwz47MdNnQGGzohmbRp84nzibCakOkOZwOkpBXHvxJJu2k847KJOxZENom0eOw_kALXxI_bcFuulJ0bMNJicXVcnBcYqFi8,4.7,251,0,"2011 10th St, Boulder"
Pedro's Tacos & Tequila Bar Boulder,40.0180353,-105.2807166,ChIJ_xAbQrHta4cR17_9P8R2pM4,restaurant,AeeoHcLYF0KUD3NR5-eR276Q4OsI8Mj3CfntKzDGSnrT-p1IHp1Z9hA3BUsWljWuHPRHgyuC-WCRvN23D03fGDNBgPTW93jd0MVc2ZFqXRmnD9zqXqudvjlt4n2MbFWRtON9jP503_dlhka4s0EGtRpAZ48ZOYS4ncOfGfY8UPO6sjeteBrbkRI13DdjJwekDaFxl5YftY7G1cjue7XWShdLAwFkk35TkM118qYf1A1DrzA8Be1uG5-Is9AQlHp65lFBOWguIXLbIwFMNoCwjpiFqbij3TIsuTccCCJs5HilzLCz_YYu8Pw,4.7,157,2,"1125 Pearl St, Boulder"
Beyond the Mountain Brewing Co.,40.0645151,-105.2147596,ChIJhbgkHtTxa4cRRZlZf5u60b8,bar,AeeoHcJoKYlwBnJFgxNwSr2nvaTxYQ5TeqjSagQ0R9F0WCc2iArPiLK7vr5amtDnvKCxWZrOtwhRlBy3ewL3I05Dmi2HfBUWcBAzV-IXL0PrhsCc-DRowmce_9oUXek_bux4ItPqnsmAinsbZhwqi-h4Q5x1xNoeK1-5GdyXHVXdjHJaaMfEJ3frFuDhfX5TPyfbikoUv-gAYKecms8tC2vFv5whkJGsVhehptnY0lpZX8nseG44KQlHmlIhaQkHFFL4DwJIU63jW4jJ0PHfkp_3fRW5yFcNnoiOigMmbVm4lzM4gwqMd_zkQ6QzTwN9EbbOTSrAmOn9d-lWzJKwLnNealBFZBLEvsUMMyq_Xt5jSYsbfYtqsBh7ZDvGpKUitul2nZRcaWUQxEgETNfaSrsmn3SO0zmFvaH5VzJzLH2-IJnhLZ0Zs9AxMxp9NI-G-67KHurLYLUgW3CTrHPB2O870JwrtiHFX3nwXfgb8Rg8yLIUnbpLExHhVRwcCOQdQaYC-HPBcEaVm6BKjFrY5U4RHMO5IaWBA5Ha4Y-0Kx7JtWByGuM3PUnwC4Y7pwcvM2BD2HphKuKn,4.7,157,0,"6035 Longbow Dr unit 109, Boulder"
Cristos Coffee Boulder,40.0185643,-105.2800076,ChIJyyVLtp3ta4cReHyvdbayztw,cafe,AeeoHcJaAc52e5LmtUQJK9OAj_ib2o6ER2sIh6E7qFUzbhEMhdElgSyPlQjuq56K5qohVAQigfH2SlnoS0SoEx57sXXt3YTjDEWNY42o8E-XOBrEgVR4GfoGW_hPa2nKv2S40aul8f4frXp3ddrJAKgKKmX7gNpJeFlhKwT4RwIUaNKjapCsCzCj8X9Ho4zChpi2H6Ti38Z4rQwmnap4U2OkcEN-gDPbG9X7oe7BCnW-zsU4F4DYBuSO0KUYzlZqoiLmnVGs8blFDU0Lz7Py9cf5JAoBOUBeKRbcbCwxqbSLX6_zBvtKixdXSUHaMnhIpVi32LgteTIeW8NzxTbejxoaufxBDLeQDlgu6F5gu4W-Q4bRArcqbh8aPzhSYqJ1CqVOIpOwqpzkjTN965a2UrXOCtIhPHTCYO068SB7Mk_oRfXfCTdKvm6xTha_vUCJwgaYDime3YUSACMI-0bebQVxRQVlcYfg9EYSUEW6nd3Y8WqsHXUzMTm_gCitrAoaBcR_QUL5Rzj_PlowMRjk9KiqswKwDgYJl-yny44PiJv0ialjLkwpuxje-pcoyKm49qzexn5ul-eZ38ChtQ,4.7,59,0,"2052 Broadway, Boulder"
Rayback Collective,40.0296156,-105.2594556,ChIJtdu8_5Tva4cRmAogyNfTzFw,bar,AeeoHcLMbb3ZLYKCYpFXkHF5bCxAxxL3YeSzoYRHFODR2la1rb--b9S9vxJ27z0INqIotcAglwsahOxTv43dHh4NJZC2qyAD5w1lRKjTuxQQKy1Z7eGMTPgvpTg7qhrF249dODwVxiSgqu12csfidRB4yeJY0qtYU62HrLv81KzgWJlC0dq2Bv6mMr9dPAR7o6NK49C0lG7vLRKx_zihkQ2s87FOfgeCEow2Jd0IaZCbgwW24XHa-Y6lEZbHqOlUMeID4oXw0VItQO6ovGBWSeTPLDGmOhMSTodjJR4kV5E6qBHg_5Hc2Tc,4.6,2535,2,"2775 Valmont Rd, Boulder"
